DrugID;TradeNmR;InnR;PackNx;DosageR;PackQn;Pack;DrugFmNmRS;Segment;Year;Month;Series;TotDrugQn;MnfPrice;PrcPrice;RtlPrice;Funds;VendorID;Remark;SrcOrg;EAN;MaxMnfPrice;ExpiTermR;ClNm;MnfNm;PckNm;RegNr;RegDate
9;Брифесептол;Ко-тримоксазол [Сульфаметоксазол+Триметоприм];436245;480 мг;20;20 шт., упаковка контурная ячейковая , пачка картонная;таблетка;;2014;6;;0.00;0.00;0.00;0.00;0.00;;;;4,60E+12;29.430000;2 года;Брынцалов-А ЗАО;Брынцалов-А ЗАО;Брынцалов-А ЗАО;Р N001575/02-2002;20.08.2002 0:00
13;Преднизолон;Преднизолон;479501;0.5%;1;10 г, туба алюминиевая;мазь для наружного применения;;2014;6;;0.00;0.00;0.00;0.00;0.00;;;;4,60E+12;7.600000;2 года;Алтайвитамины ЗАО;Алтайвитамины ЗАО;Алтайвитамины ЗАО;ЛС-001289;17.02.2006 0:00
15;Нитросорбид;Изосорбида динитрат;495446;10 мг;50;10 шт., упаковка контурная ячейковая  (5), пачка картонная;таблетка;;2014;6;;0.00;0.00;0.00;0.00;0.00;;;;4,61E+12;6.190000;3 года;Фармапол-Волга ООО;Фармапол-Волга ООО;Фармапол-Волга ООО;ЛС-000272;29.04.2005 0:00
16;Ацикловир-Акри;Ацикловир;496017;200 мг;20;10 шт., упаковка контурная ячейковая  (2), пачка картонная;таблетка;;2014;6;;0.00;0.00;0.00;0.00;0.00;;;;4,60E+12;30.540000;3 года;Акрихин ХФК ОАО;Акрихин ХФК ОАО;Акрихин ХФК ОАО;ЛС-000044;23.03.2005 0:00
17;Сибазон;Диазепам;503724;5 мг;20;10 шт., упаковка контурная ячейковая  (2), пачка картонная;таблетка;;2014;6;;0.00;0.00;0.00;0.00;0.00;;;;4,60E+12;10.300000;3 года;Московский эндокринный завод ФГУП;Московский эндокринный завод ФГУП;Московский эндокринный завод ФГУП;ЛС-001270;17.02.2006 0:00
18;Кларотадин;Лоратадин;505459;1 мг/мл;1;100 мл /комплект: ложка дозировочная/, флакон темного стекла;сироп;;2014;6;;0.00;0.00;0.00;0.00;0.00;;;;4,60E+12;101.310000;3 года;Акрихин ХФК ОАО;Акрихин ХФК ОАО;Акрихин ХФК ОАО;Р N003765/01;06.10.2009 0:00
20;Флуконазол-Верте;Флуконазол;510006;150 мг;1;1 шт., упаковка контурная ячейковая , пачка картонная;капсула;;2014;6;;0.00;0.00;0.00;0.00;0.00;;;;4,61E+12;19.670000;2 года;Вертекс ЗАО;Вертекс ЗАО;Вертекс ЗАО;Р N003242/01;09.12.2009 0:00
23;Доксазозин;Доксазозин;513406;2 мг;30;10 шт., упаковка контурная ячейковая  (3), пачка картонная;таблетка;;2014;6;;0.00;0.00;0.00;0.00;0.00;;;;4,61E+12;97.550000;2 года;ЗиО-Здоровье ЗАО;ЗиО-Здоровье ЗАО;ЗиО-Здоровье ЗАО;Р N003813/01;02.10.2009 0:00
24;Лизиноприл;Лизиноприл;513658;10 мг;30;10 шт., упаковка контурная ячейковая  (3), пачка картонная;таблетка;;2014;6;;0.00;0.00;0.00;0.00;0.00;;;;4,61E+12;65.990000;2 года;ЗиО-Здоровье ЗАО;ЗиО-Здоровье ЗАО;ЗиО-Здоровье ЗАО;ЛС-000779;23.09.2005 0:00
25;Гептор;Адеметионин;520943;400 мг;20;10 шт., упаковка контурная ячейковая  (2), пачка картонная;таблетка покрытая кишечнорастворимой оболочкой;;2014;6;;0.00;0.00;0.00;0.00;0.00;;;;4,61E+12;757.030000;2 года;Верофарм ОАО [г.Москва];Верофарм ОАО [г.Москва];Верофарм ОАО [г.Москва];ЛС-001820;
