DrugID;Segment;Year;Month;Series;TotDrugQn;MnfPrice;PrcPrice;RtlPrice;Funds;VendorID;Remark;SrcOrg
68407;1;2014;5;1411113;10.00;359.82;386.11;450.00;0.00;113682;;
49467;1;2014;5;24003;2.00;287.10;265.90;323.00;0.00;113682;;
8166;1;2014;5;D60023,D60022;2.00;236.69;152.35;199.00;0.00;6747;;
49558;1;2014;5;f5536;2.00;41.62;41.91;52.00;0.00;6747;;
52175;1;2014;5;114568;1.00;462.52;463.76;556.00;0.00;6747;;
26236;1;2014;5;13G24093A;1.00;160.70;168.85;200.00;0.00;6747;;
21609;1;2014;5;34299,21067;5.00;59.55;55.66;67.00;0.00;6747;;
48847;1;2014;5;231013,029;2.00;362.06;367.84;440.00;0.00;6747;;
51509;1;2014;5;281089UP;2.00;150.57;143.44;173.00;0.00;6747;;
38893;1;2014;5;3К036А,3Н156А;10.00;39.73;40.37;50.00;0.00;6747;;
1363;1;2014;5;20214;30.00;июн.89;июн.93;авг.60;0.00;6747;;
1644;1;2014;5;691213,0102;20.00;окт.89;11.00;13.70;0.00;6747;;
22081;1;2014;5;297901,2934;2.00;143.44;134.75;163.00;0.00;6747;;
1871;1;2014;5;10914718;2.00;31.89;36.98;44.95;0.00;14579;;
47324;1;2014;5;V17142;2.00;171.66;193.97;228.29;0.00;14579;;
29405;1;2014;5;30413;10.00;06.дек;07.авг;авг.61;0.00;14579;;
35678;1;2014;5;131113;10.00;июн.33;июл.34;8,91;0.00;14579;;
79;1;2014;5;60114;5.00;июл.70;8,93;10,85;0.00;14579;;
13197;1;2014;5;DY4538;3.00;187.18;187.96;225.30;0.00;2581;;
49559;1;2014;5;F6306;3.00;66.18;65.49;78.70;0.00;2581;;
52;1;2014;5;35240114;1.00;884.90;841.87;974.60;0.00;2581;;
42192;1;2014;5;49563;2.00;231.11;236.57;282.70;0.00;2581;;
35185;1;2014;5;35680214;1.00;239.67;232.90;280.80;0.00;2581;;
21446;1;2014;5;130813;2.00;59.68;58.41;70.00;0.00;6747;;
52320;1;2014;5;230913;2.00;237.47;241.01;288.00;0.00;6747;;
31943;1;2014;5;311879;1.00;115.15;117.70;140.00;0.00;6747;;
13108;1;2014;5;171092;1.00;133.60;131.89;140.00;;6747;;
33666;1;2014;5;ЕА3423;2.00;200.86;167.75;207.00;;6747;;
49429;1;2014;5;933910;1.00;612.88;632.06;723.00;;6747;;
51648;1;2014;5;3014;5.00;окт.78;ноя.55;14.00;;6747;;
58348;1;2014;5;3В0541113;1.00;146.23;150.37;179.00;;6747;;
